anahtar | SOYAR | UFAK_AV | YEM_BALIGI | tek cümle gerekçe
melanur | E | H | H | Kayalık sürülerinde küçük yemleri gagalayan ancak erişkini ufak sınırını aşabilen türdür.
muren | H | H | H | Büyük dişli gece avcısıdır ve yemi aldığında hedef olarak tutulur.
pisi | H | H | H | Kumluk diplerin 20 cm yasal boylu hedef yassı balığıdır.
sargoz | H | H | H | Büyük sparid hedef avdır ve düzenli boş iğne kategorisine girmez.
sivriburun | H | H | H | 18 cm yasal boylu hedef karagöz türüdür.
tirsi | H | E | E | Küçük sürü balığı plankton ağırlıklı beslendiği için yemi soymaz ve yem balığı olarak kullanılır.
trakonya | H | E | H | Kuma gömülü pusu avcısı yemli iğneye takılır; küçük bireyleri ufak av sayılır.
aslan_baligi | H | E | H | İstilacı ve zehirli olsa da küçük bireyleri kıyıdan yakalanır, yem balığı değildir.
balon_baligi | H | E | H | Zehirli istilacı tür iğneye takılan küçük av olabilir ancak canlı yem pratiği yoktur.
istavrit | H | E | E | Çapariyle çok yaygın tutulur ve iri avcılar için klasik yem balıklarından biridir.
kalamar | H | H | H | Yeme saldırıp tutulabilen hedef kafadanbacaklıdır ve yem hırsızı değildir.
kupes | E | E | E | Sürü halinde yemleri didikler ve notta canlı yem olarak kullanıldığı belirtilmiştir.
kurbaga | H | E | H | Kuma gömülü bekleyen zehirli dip balığı iğneye takılır, yem hırsızı değildir.
trakun | H | H | H | 18 cm yasal boylu sürü avcısı hedef balıktır.
uskumru | H | H | E | Sürü halinde tutulan değerli balıktır ve yaygın ölü yem olarak da kullanılır.
vatoz | H | H | H | Yemi aldığında iğneye takılan büyük dip canlısıdır ve yaygın yem balığı değildir.
granyoz | H | H | H | Büyük gece hedef avcısıdır ve optimum derinliği kıyı için sınırlayıcıdır.
hamsi | H | E | E | Plankton süzdüğü için kurdu soyamaz; küçük boyuyla yaygın yem balığıdır.
hani | E | E | ? | Küçük kayalık avcısı yemleri alabilir ancak yaygın iri av yemi olduğuna dair not yoktur.
iskatarya | H | H | ? | Orta boy hedef sparididir; yaygın canlı veya ölü yem kullanımı notta desteklenmiyor.
izmarit | E | E | ? | Küçük ağzıyla yemi didikleyen klasik yem hırsızıdır ve ufak avdır.
kolyoz | H | H | E | Sürü pelajik balığıdır ve pratikte iri avcılar için kullanılabilen yem türlerindendir.
migri | H | H | H | Büyük deniz yılanı hedef gece avcısıdır ve yem hırsızı sayılmaz.
papalina | H | E | E | Plankton ağırlıklı küçük sürü balığıdır ve istavrit başta olmak üzere yem olarak kullanılır.
sardalya | H | E | E | Süzücü sürü balığı kurdu soyamaz; çapariyle tutulup yaygın ölü yem olur.
tekir | E | E | ? | Küçük dudaklı dip balığı yemleri didikleyip sık ufak av verir ancak yem kullanımı belirsizdir.
barbun | E | E | ? | Yumuşak dudaklarıyla yemi emerek alır ve 13 cm yasal boyuyla ufak av sınıfındadır.
caca | H | E | E | Plankton yiyen küçük sürü balığı iğneyi soymaz ve büyük avcıların önemli yem zinciridir.
palamut | H | H | H | Güçlü sürü avcısı hedef balığıdır ve yem hırsızı değildir.
sinarit | H | H | H | Derin kayalıkların büyük hedef avcısıdır ve kıyı yem hırsızı sınıfına girmez.
kirlangic | H | H | H | 18 cm yasal boylu lezzetli hedef dip balığıdır.
akya | H | H | H | Büyük açık su avcısıdır ve notta tekne gerektirdiği belirtilen hedef türdür.
lahoz | H | H | H | Koruma altındaki büyük lagos hedef balığıdır ve yem balığı olarak kullanılmaz.
yazili_orkinos | H | H | H | Trolling ile avlanan iri pelajik hedef türdür.
mercan | H | H | H | Kayalık-kumluk diplerin değerli hedef sparididir.
mirlan | H | E | E | Soğuk su küçük dip balığı ufak av olabilir ve yaygın ölü yem olarak da değerlendirilebilir.
