anahtar | SOYAR | UFAK_AV | YEM_BALIGI | tek cümle gerekçe
barbun | E | E | H | Yumuşak dudaklarıyla yemi emerek alır, 13 cm altı bireyler ufaktır.
caca | H | H | E | Süzücü sürü balığı kurdu fiziksel olarak soyamaz, büyük avcıların yem zincirindedir.
palamut | H | H | H | Büyük pelajik avcı hedefidir, dip yemini soyan ufak av değildir.
sinarit | H | H | H | Büyük kayalık dip avcısı hedef türdür, kıyı ufak hırsız sınıfına girmez.
kirlangic | H | H | H | Dipte küçük canlılarla beslenen ağız yemi alabilir ama yem balığı olarak belirgin değildir.
akya | H | H | H | Güçlü açık su avcısıdır, tekne gerektirir ve kıyı yem hırsızı değildir.
lahoz | H | H | H | Güçlü kayalık dip avcısı hedef ve koruma altındadır, yem balığı değildir.
yazili_orkinos | H | H | H | Açık deniz pelajik avcısı trolling hedefidir, kıyı iğnesinde ufak av değildir.
mercan | H | H | H | Kayalık-kumluk dipte yemi alır ama çoğunlukla hedef mercan balığıdır.
mirlan | E | E | E | Dipte küçük avlarla beslenen mezgit yemi alabilir, küçük bireyleri avcı yemi olabilir.
