anahtar | SOYAR | UFAK_AV | YEM_BALIGI | tek cümle gerekçe
balon_baligi | E | E | H | Güçlü gagasıyla yemi koparır, zehirli istilacı tür olduğu için ufak avdır.
istavrit | H | E | E | Sürü balığı iğne yemini soymaz, küçük boyuyla ufak avdır ve canlı yem olarak değerlidir.
kalamar | H | H | E | Dokunaçlarıyla yemi kavrar, hedef türdür, ancak yem olarak kullanılabilir.
kupes | E | E | E | Sürü halinde yemi didikler, küçük boyutlu ve canlı yem olarak kullanılır.
kurbaga | E | E | H | Kuma gömülü yemi alabilir, zehirli ve küçük olduğu için ufak avdır.
trakun | H | H | H | Sürü balığı olarak yemi alabilir, ancak hedef türdür, yem değildir.
uskumru | H | H | E | Sürü balığı iğne yemini soymaz, lezzetli hedef türdür, ancak canlı yem olarak da kullanılır.
vatoz | E | E | H | Yemi alabilir, zehirli dikeni ve düşük et değeri nedeniyle genellikle geri atılır.
granyoz | H | H | H | Büyük dip avcısı hedef türdür.
hamsi | H | E | E | Planktonik sürü balığı iğne yemini soymaz, küçük boyuyla ufak avdır ve avcılar için yemdir.
hani | E | E | H | Kayalıkta yemi didikler, küçük boyu nedeniyle ufak avdır, yem değildir.
iskatarya | H | H | H | Sparid hedef türdür, yemi didiklese de takılır.
izmarit | E | E | E | Gerçek ağzıyla yemi didikler, küçük boyuyla ufak avdır ve canlı yem olarak kullanılabilir.
kolyoz | H | H | E | Sürü balığı iğne yemini soymaz, hedef türdür, ancak avcılar için yemdir.
migri | H | H | H | Gece avcısı yemi alabilir, hedef dışı büyük türdür.
papalina | H | E | E | Planktonik sürü balığı iğne yemini soymaz, küçük boyuyla ufak avdır ve avcılar için kritik yemdir.
sardalya | H | E | E | Planktonik sürü balığı iğne yemini soymaz, küçük boyuyla ufak avdır ve avcılar için yemdir.
tekir | E | E | H | Dipte yemi alabilir, küçük boyuyla ufak avdır, yem olarak kullanılmaz.
barbun | E | E | H | Yumuşak dudaklarıyla yemi emer, küçük boyuyla ufak avdır, yem değildir.
caca | H | E | E | Planktonik sürü balığı iğne yemini soymaz, küçük boyuyla ufak avdır ve avcılar için yemdir.
palamut | H | H | H | Pelajik avcı hedef türdür, yemi soymaz, yem değildir.
sinarit | H | H | H | Büyük dip avcısı hedef türdür.
kirlangic | H | H | H | Dipte yemi alabilir, ancak hedef türdür.
akya | H | H | H | Açık su avcısı, kıyıdan gelmez, hedef türdür.
lahoz | H | H | H | Büyük dip avcısı hedef türdür, koruma altındadır.
yazili_orkinos | H | H | H | Pelajik avcı, trolling hedefidir.
mercan | H | H | H | Dipte yemi alabilir, ancak hedef türdür.
mirlan | E | E | E | Dipte yemi alabilir, küçük boyuyla ufak avdır ve avcılar için yem olarak kullanılabilir.
